MatchID: 2014307
Position   AS Roma              PFC CSKA Moskva
GK-GK      0                    0
GK-STR     0                    0
GK-DEF     13                   7
GK-MID     8                    4
STR-GK     0                    0
STR-STR    18                   8
STR-DEF    32                   7
STR-MID    50                   18
DEF-GK     9                    4
DEF-STR    42                   14
DEF-DEF    54                   39
DEF-MID    118                  56
MID-GK     4                    2
MID-STR    67                   31
MID-DEF    112                  41
MID-MID    154                  57
MatchID: 2014308
Position   FC Bayern München  Manchester City FC
GK-GK      0                    0
GK-STR     0                    6
GK-DEF     31                   12
GK-MID     0                    5
STR-GK     0                    0
STR-STR    4                    0
STR-DEF    28                   5
STR-MID    9                    19
DEF-GK     20                   10
DEF-STR    55                   6
DEF-DEF    218                  37
DEF-MID    72                   67
MID-GK     1                    1
MID-STR    13                   18
MID-DEF    79                   72
MID-MID    12                   117
MatchID: 2014309
Position   APOEL FC             FC Barcelona
GK-GK      0                    0
GK-STR     4                    1
GK-DEF     6                    10
GK-MID     0                    4
STR-GK     0                    0
STR-STR    6                    28
STR-DEF    9                    35
STR-MID    15                   50
DEF-GK     6                    4
DEF-STR    8                    45
DEF-DEF    16                   75
DEF-MID    49                   145
MID-GK     1                    3
MID-STR    29                   77
MID-DEF    36                   135
MID-MID    28                   88
MatchID: 2014310
Position   AFC Ajax             Paris Saint-Germain
GK-GK      0                    0
GK-STR     1                    1
GK-DEF     18                   23
GK-MID     3                    1
STR-GK     0                    0
STR-STR    2                    7
STR-DEF    26                   23
STR-MID    20                   28
DEF-GK     11                   13
DEF-STR    33                   23
DEF-DEF    112                  50
DEF-MID    82                   73
MID-GK     0                    1
MID-STR    25                   45
MID-DEF    82                   67
MID-MID    50                   87
MatchID: 2014311
Position   Chelsea FC           FC Schalke 04
GK-GK      0                    0
GK-STR     0                    1
GK-DEF     7                    3
GK-MID     3                    17
STR-GK     0                    0
STR-STR    1                    2
STR-DEF    6                    4
STR-MID    10                   11
DEF-GK     5                    4
DEF-STR    7                    5
DEF-DEF    53                   16
DEF-MID    100                  68
MID-GK     2                    17
MID-STR    14                   14
MID-DEF    87                   66
MID-MID    118                  186
MatchID: 2014312
Position   NK Maribor           Sporting Clube de Portugal
GK-GK      0                    0
GK-STR     2                    4
GK-DEF     2                    12
GK-MID     6                    3
STR-GK     0                    0
STR-STR    0                    13
STR-DEF    4                    30
STR-MID    14                   41
DEF-GK     7                    7
DEF-STR    3                    44
DEF-DEF    8                    43
DEF-MID    39                   46
MID-GK     4                    1
MID-STR    13                   52
MID-DEF    32                   56
MID-MID    77                   47
MatchID: 2014313
Position   FC BATE Borisov      FC Porto
GK-GK      0                    0
GK-STR     1                    1
GK-DEF     13                   18
GK-MID     1                    4
STR-GK     0                    0
STR-STR    0                    20
STR-DEF    7                    40
STR-MID    10                   30
DEF-GK     12                   16
DEF-STR    5                    43
DEF-DEF    19                   126
DEF-MID    45                   83
MID-GK     4                    3
MID-STR    12                   51
MID-DEF    42                   76
MID-MID    55                   39
MatchID: 2014314
Position   Athletic Club        FC Shakhtar Donetsk
GK-GK      0                    0
GK-STR     0                    1
GK-DEF     15                   24
GK-MID     4                    11
STR-GK     0                    0
STR-STR    0                    4
STR-DEF    0                    25
STR-MID    13                   19
DEF-GK     8                    30
DEF-STR    8                    20
DEF-DEF    28                   77
DEF-MID    49                   50
MID-GK     5                    3
MID-STR    10                   12
MID-DEF    35                   52
MID-MID    120                  45
MatchID: 2014315
Position   Club Atlético de Madrid Olympiacos FC
GK-GK      0                    0
GK-STR     0                    1
GK-DEF     6                    11
GK-MID     1                    3
STR-GK     0                    0
STR-STR    0                    0
STR-DEF    2                    12
STR-MID    11                   5
DEF-GK     2                    12
DEF-STR    10                   9
DEF-DEF    38                   53
DEF-MID    91                   52
MID-GK     0                    1
MID-STR    9                    13
MID-DEF    83                   48
MID-MID    123                  40
MatchID: 2014316
Position   Juventus             Malmö FF
GK-GK      0                    0
GK-STR     0                    0
GK-DEF     17                   10
GK-MID     1                    0
STR-GK     0                    0
STR-STR    12                   0
STR-DEF    41                   3
STR-MID    27                   7
DEF-GK     12                   9
DEF-STR    45                   6
DEF-DEF    114                  10
DEF-MID    106                  25
MID-GK     0                    3
MID-STR    31                   7
MID-DEF    93                   34
MID-MID    19                   29
MatchID: 2014317
Position   Liverpool FC         PFC Ludogorets 1945
GK-GK      0                    0
GK-STR     1                    0
GK-DEF     23                   14
GK-MID     6                    2
STR-GK     0                    0
STR-STR    3                    3
STR-DEF    8                    15
STR-MID    19                   21
DEF-GK     22                   11
DEF-STR    10                   28
DEF-DEF    47                   18
DEF-MID    113                  34
MID-GK     3                    1
MID-STR    21                   19
MID-DEF    106                  47
MID-MID    107                  39
MatchID: 2014318
Position   FC Basel 1893        Real Madrid CF
GK-GK      0                    0
GK-STR     1                    3
GK-DEF     21                   20
GK-MID     8                    5
STR-GK     0                    0
STR-STR    8                    5
STR-DEF    6                    15
STR-MID    28                   27
DEF-GK     10                   13
DEF-STR    15                   19
DEF-DEF    56                   88
DEF-MID    86                   108
MID-GK     3                    1
MID-STR    41                   38
